country_name,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Aruba,16441.3812596351,16586.1922970903,17927.4120263906,19081.570288413997,19356.4208651472,20619.5658496388,20671.545738501998,20433.6541088167,20834.9397101237,22566.682157632404,23302.8319880055,24015.420612270096,25921.5382341406,27549.8894224976,24640.4212441218,24289.141516132597,25353.787544644103,,,
Afghanistan,,,,,,,119.89901875460801,192.153653041771,203.650833206291,224.914869067855,257.175694454209,280.24564410691397,380.40095518659797,384.131681276838,458.955781585831,569.940728793286,622.379654358451,690.8426290149561,653.347488111011,633.947864294639
Angola,386.38975209729205,560.636979115993,554.155235569038,454.269351760518,421.37584621077303,606.269625354397,574.19416113737,775.7655184597161,850.075694129697,1135.6045635508501,1576.16280066689,2253.83885003865,3151.02243105289,4242.363062340921,3678.9476544717895,3886.47935432524,4744.987629495889,5086.8484258086,5327.148892192321,5232.76230029543
Albania,760.559375774093,1046.35851058923,749.584648972451,865.302161845067,1098.42546338936,1175.78898073398,1326.97033929337,1453.6427766085299,1890.6815574354398,2416.5882350701,2709.1429305620104,3005.0129033755998,3603.0136853663794,4370.53964653148,4114.13654490945,4094.3588319191795,4437.8119990258,4247.83985201907,4412.34557813421,4568.56882650826
Andorra,18459.9084034353,19037.5846794547,18404.5594139597,18969.6405869197,19324.454187673302,21432.976460891998,21897.8588917179,24174.273191138,31744.2168037792,37233.8319037435,39991.325069192404,42419.4018912335,47255.955210172804,46734.2682819437,42704.0194268188,39641.746008498,41627.462997906296,39666.043036197996,42804.2026352761,
United Arab Emirates,27973.7428158486,29813.372309643102,30378.545342809302,27681.310528386002,29278.768620824903,34207.538949890295,32105.6478664635,32355.4095972427,34294.8939976005,37179.6818919642,40298.524217856204,42950.1005841305,42913.7840342254,45720.017897979196,32905.0538494054,34341.9112921486,39901.2209155518,41712.3979484395,42986.6646116366,44238.5997740128
Argentina,7373.42740288005,7683.573847908241,8172.665235343059,8248.76471990265,7736.372577927329,7669.273708584341,7170.689698193579,2579.1881989888398,3330.42866006847,4251.5653466058,5076.8834404197,5878.781832800661,7193.67541176073,8953.47656361728,8161.460196291709,10276.5132733671,12727.294240040701,12970.173901541599,12977.1309231495,12245.680673455101
Armenia,455.550276086151,503.231969620213,522.5220720401841,608.336648730809,596.505996304047,621.424826318947,692.301630888896,779.8296261315551,924.4640098177609,1181.9684454224,1625.40776912682,2126.61866107184,3080.97095943572,3919.9754738106103,2915.5839059086998,3124.78401786195,3417.1718359991496,3565.5175749254,3716.8289225446397,3861.9155704445793
Antigua and Barbuda,7230.320636515309,7702.6702836368995,8027.631130964829,8355.618643196469,8572.373480778158,10094.7590646488,9797.96871277396,10027.8562205839,10382.6309004545,10993.3692472668,12079.865695041599,13599.908857303999,15276.0682646698,15786.172839506202,13979.262692588301,13017.310387548701,12817.841573309399,13525.616220134,13342.0849977054,13432.0792079208
Australia,20360.1822127719,21917.719218006103,23522.7787661215,21340.0621127075,20536.412309301202,21665.1154539573,19495.1459333809,20059.4520721372,23440.0053221856,30440.8548786229,33982.9504271591,36084.8589777475,40957.830439248704,49628.1151270179,42715.1322619629,51845.6548605562,62216.5471294133,67646.1038529626,67652.6832146189,62004.7931943463
Austria,30252.794692404103,29742.4288063177,26646.8839392444,27289.6307093023,27116.6760790806,24517.267446014703,24489.7355313151,26351.375676954198,32102.9305523558,36693.4026205182,38242.042517469905,40430.993614499,46586.65025292349,51386.3766511975,47654.1872090808,46659.840818134406,51123.561329166296,48333.572726737,50504.7153221994,51322.639972875804
Azerbaijan,397.198116117247,409.216745216782,505.560573228931,561.910301735455,573.8902561721,655.097432602586,703.671250439944,763.101212220367,883.614008967961,1045.02641527642,1578.3673303066698,2473.0857763683703,3851.4378687117205,5574.6038021861295,4950.29479142375,5842.805783585761,7189.69122920765,7393.77187697623,7811.6214184581995,7886.4591436727405
Burundi,160.349989322905,137.214102710322,151.532104309971,137.251502794512,121.997730782136,128.635536499035,126.217081308673,115.279880322528,106.016974729214,119.460135012836,140.815135598437,154.924525713107,159.265471311463,182.687801252318,190.39420366658902,214.230990840075,240.614483459126,244.19648623151002,259.365208150184,286.002335872952
