country_name,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Aruba,,,,,,,,,,,,,,,,,,,,
Afghanistan,,,,,,,,7.09414092,6.8953803,11.03324341,9.93937535,14.29141914,7.76027831,16.63747023,27.45657541,31.04438552,26.42396854,34.28331897,32.58067229,35.84374939
Angola,72.13510223,61.80985347,57.98090619,42.41229447,63.111193799999995,60.17387064,52.2309081,46.37463659,46.40720468,51.15098356,49.33396938,66.53774217,65.43573672,70.64710311,60.93447057,60.78342274,63.76805852,64.67320992,72.25863227,64.25531186
Albania,25.96610481,23.49574237,26.75056386,30.17481594,36.54778707,36.10012132,38.20281748,35.81405161,35.93587926,42.00000471,44.24980269,43.93458345,43.07337795,45.89721323,48.92781303,46.42083932,49.85717851,48.94649304,50.14879378,49.91196079
Andorra,68.57237268,69.50140527,69.92880432,73.97672962,68.66714350000001,68.78294511,68.75,68.80733945,68.68855021,68.65955253,66.23540006,67.10940946,72.39136490000001,73.46993484,74.5232018,78.03248812,73.48512127,76.1465874,84.44256502,78.02805697
United Arab Emirates,78.96942865,79.25115439,78.34120589,71.05833275,70.66247221,70.46493274,78.27202407,63.07012358,63.16262526,59.13676163,58.99863144,59.45387715,60.62331809,65.61759339,74.91809852,72.12623309,73.77408975,73.99959995,73.36740161,72.34253479
Argentina,59.75751924,57.71520147,54.45338343,54.17352457,55.07464937,53.90138639999999,54.03149917,53.55999173,51.74039339,51.49280584,53.52669561,54.69829016,58.24968638,61.84381018,66.02416905,63.56310053,63.55941071,58.95442270000001,54.84443335,55.42666668
Armenia,31.10071116,27.99544199,24.40354458,28.57651116,28.37863989,18.19037346,26.79062365,25.2079035,27.25741899,25.52998216,36.27210902,44.84477594,48.72052502,46.44959963,44.22139406,42.14386708,52.21171792,41.84773131,42.78228507,42.98239827
Antigua and Barbuda,66.27898478,63.90766978,65.9355186,68.16131289,69.27966504,67.58236805,65.77839194,66.84127283,65.05935508,63.69866454,66.89413757,67.97445125,69.09112911,71.24938567,68.77533816,69.1753963,68.88588931,67.81237483,67.37516677,68.29352384
Australia,65.77695238,65.24623258,66.89323606,66.35580656,68.38372573,66.84098349,66.28208376,66.98887381,66.19173707,66.76795985,66.96854019,66.66776535,67.59027243,67.48600968,68.38953947,67.96616136,68.6502921,67.17296739,67.01294737,67.03875378
