country_name,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Aruba,25800000.0,19530000.0,25070000.0,11260000.0,-7380000.0,11500000.0,-1700000.0,10490000.0,76220000.0,-11320000.0,,,,,,,,,,
Afghanistan,212530000.0,169630000.0,230750000.0,164200000.0,142860000.0,136010000.0,410360000.0,1309770000.0,1593670000.0,2310640000.0,2837950000.0,2962000000.0,4964910000.0,4875860000.0,6234000000.0,6471680000.0,6867050000.0,6668030000.0,5152540000.0,4945130000.0
Angola,416420000.0,459310000.0,354660000.0,335270000.0,387540000.0,302210000.0,282730000.0,414030000.0,493500000.0,1144570000.0,414680000.0,163520000.0,247670000.0,369040000.0,238930000.0,235160000.0,192940000.0,243610000.0,285540000.0,235390000.0
Albania,180600000.0,226640000.0,168230000.0,268740000.0,488180000.0,317850000.0,268530000.0,307360000.0,349310000.0,300940000.0,315080000.0,324040000.0,308630000.0,364840000.0,357080000.0,365070000.0,379480000.0,349160000.0,269980000.0,281180000.0
Andorra,,,,,,,,,,,,,,,,,,,,
United Arab Emirates,5410000.0,6710000.0,1740000.0,3460000.0,3330000.0,3200000.0,2370000.0,3830000.0,4960000.0,5360000.0,,,,,,,,,,
Argentina,143120000.0,131540000.0,102330000.0,85540000.0,84900000.0,60370000.0,153240000.0,88190000.0,107710000.0,92080000.0,94120000.0,110430000.0,85810000.0,120000000.0,113670000.0,128530000.0,95180000.0,177760000.0,34730000.0,48790000.0
Armenia,217710000.0,292280000.0,166270000.0,194260000.0,209240000.0,215890000.0,211470000.0,295220000.0,250400000.0,256120000.0,172620000.0,215390000.0,351900000.0,304430000.0,525610000.0,342590000.0,395510000.0,270560000.0,280360000.0,267710000.0
Antigua and Barbuda,2270000.0,3870000.0,4350000.0,9980000.0,10840000.0,9880000.0,8580000.0,13510000.0,5630000.0,1900000.0,8060000.0,3280000.0,4990000.0,6070000.0,4260000.0,19660000.0,15420000.0,2090000.0,1590000.0,2550000.0
Australia,,,,,,,,,,,,,,,,,,,,
Austria,,,,,,,,,,,,,,,,,,,,
