"Data Source","World Development Indicators",

"Last Updated Date","2017-04-27",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016",
"Aruba","ABW","Government expenditure on education, total (% of GDP)","SE.XPD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.76316","4.39554","4.71468","4.73949","4.92427","","4.4089","4.68076","","4.79918","4.91559","5.92467","6.71249","6.03687","6.55339","6.79629","6.13062","","",
"Afghanistan","AFG","Government expenditure on education, total (% of GDP)","SE.XPD.TOTL.GD.ZS","","","","","","","","","","","","1.16036","1.11718","1.42788","","1.30332","","","","1.73981","1.84093","1.90917","1.72998","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.46196","3.43785","2.52441","3.47171","3.77759","3.37581","",
"Angola","AGO","Government expenditure on education, total (% of GDP)","SE.XPD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","4.622","6.0545","6.1175","","","","","","","","","","","2.59149","","2.60753","","","","","2.7762","2.85969","","","","3.47644","","","","","","",
"Albania","ALB","Government expenditure on education, total (% of GDP)","SE.XPD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.26519","3.76471","2.9763","3.23428","3.32642","3.37971","3.28692","3.3406","3.05664","3.06427","3.17008","3.23872","3.15719","3.26868","","","","","","3.53798","","","",
"Andorra","AND","Government expenditure on education, total (% of GDP)","SE.XPD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.71328","","","","","1.69684","","1.53254","1.60025","2.19399","2.07405","2.93457","3.16387","3.0658","3.15889","","2.46258","3.06442","","",
"Arab World","ARB","Government expenditure on education, total (% of GDP)","SE.XPD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.67072","","3.85934","","4.282285","","","","","","","","",
"United Arab Emirates","ARE","Government expenditure on education, total (% of GDP)","SE.XPD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.10944","","","","","","","","","","","","","","","","","","","",
"Argentina","ARG","Government expenditure on education, total (% of GDP)","SE.XPD.TOTL.GD.ZS","","","","","","","","","","","1.45809","","1.9362","1.78052","1.92352","1.8436","1.16564","1.71984","1.93555","2.40028","2.60715","","1.59787","1.6175","2.56972","1.36186","1.26155","1.2823","","1.04612","1.06738","","","","","","3.73198","","4.03987","4.52168","4.58031","4.83374","4.01734","3.53505","3.15654","3.47405","3.65499","3.89635","4.33782","4.89","4.60637","4.98632","5.09906","5.3441","5.54727","","",
"Armenia","ARM","Government expenditure on education, total (% of GDP)","SE.XPD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.84843","","","2.23519","2.77273","2.46944","2.13504","2.14504","2.48673","2.71203","2.71577","3.01894","3.17273","3.84079","3.249","3.14385","2.77248","2.65018","2.2405","2.80376","",
"American Samoa","ASM","Government expenditure on education, total (% of GDP)","SE.XPD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Government expenditure on education, total (% of GDP)","SE.XPD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.23707","","","3.44539","","","","","","","2.55447","","","","","","","",
"Australia","AUS","Government expenditure on education, total (% of GDP)","SE.XPD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","6.01461","5.90295","5.65942","","5.48332","5.37532","","5.40667","5.28216","5.07126","4.91788","4.74689","4.67302","4.79205","4.6886","5.51017","5.2479","5.13367","5.23053","","","","4.89466","","","","","4.91266","4.74494","4.66114","4.63528","5.09264","5.56895","5.09909","4.89647","5.27065","","","",
"Austria","AUT","Government expenditure on education, total (% of GDP)","SE.XPD.TOTL.GD.ZS","","","","","","","","","","","4.15718","4.29269","4.4609","4.52637","4.66719","5.14034","5.25031","4.96598","5.17225","5.05033","5.02107","5.38078","5.37594","5.31659","5.30726","5.31","5.51324","5.38909","5.20327","5.03029","4.96922","5.11554","5.30978","5.26468","","5.44146","5.27168","","6.1199","6.12533","5.59956","5.58635","5.53269","5.38187","5.32094","5.27148","5.25293","5.17663","5.29698","5.7674","5.72503","5.61942","5.45336","5.56484","","","",
"Azerbaijan","AZE","Government expenditure on education, total (% of GDP)","SE.XPD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.05797","","","3.33737","3.51252","","3.38","4.21217","3.85399","3.50342","3.15449","3.28615","3.44766","2.97462","2.55551","2.54928","2.44093","3.22431","2.78062","2.43564","2.0963","2.46218","2.63466","","",
"Burundi","BDI","Government expenditure on education, total (% of GDP)","SE.XPD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","2.80336","","3.34676","","","","","","","","","3.35933","3.49366","3.80585","","4.56527","5.01511","4.08324","","","3.41745","2.64548","2.90391","3.00493","","3.74496","3.63169","","","5.19355","6.31979","6.79287","5.99779","5.82091","5.41475","","","",
"Belgium","BEL","Government expenditure on education, total (% of GDP)","SE.XPD.TOTL.GD.ZS","","","","","","","","","","","","","","","","5.73214","5.70052","5.95694","5.40739","5.3517","5.28236","5.40638","5.28841","","","","4.82645","4.55276","4.27782","","","","","5.34371","5.38223","2.97274","3.02611","","","","","5.84329","5.94735","5.88478","5.80695","5.769","5.84036","5.84903","6.29139","6.41536","6.40799","6.37874","","","","","",
"Benin","BEN","Government expenditure on education, total (% of GDP)","SE.XPD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.74789","2.62665","2.88869","3.23235","2.95134","3.12027","3.50804","3.63079","3.50328","3.22981","3.79566","4.22204","5.02932","","4.88943","4.57055","4.38073","4.26137","",
"Burkina Faso","BFA","Government expenditure on education, total (% of GDP)","SE.XPD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","1.67983","","1.9618","","","1.75448","","1.76396","","","1.42608","","","","","","3.4511","","1.44026","","","","","","","","","4.4326","4.45703","4.58858","","","3.93896","4.48326","4.05353","4.53051","4.49753","3.91078","",
"Bangladesh","BGD","Government expenditure on education, total (% of GDP)","SE.XPD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","1.13093","0.9376","1.0715","1.01164","1.03267","1.22303","1.27118","1.34349","1.51364","","","1.51912","1.42566","1.63177","1.69262","","","","1.95247","","2.13282","2.12508","2.17193","2.01715","2.06939","1.94014","","2.13129","2.20222","2.05457","1.93942","","2.1327","2.1755","1.96616","","2.17913","",
"Bulgaria","BGR","Government expenditure on education, total (% of GDP)","SE.XPD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","3.52948","","","","","","","","","","4.45406","5.42962","5.26046","4.95049","4.17066","3.44701","2.71204","","2.81427","","","3.39575","3.39488","4.01177","2.32557","4.11536","3.91204","3.65297","4.20479","4.29411","3.91536","3.59234","3.52336","4.07164","","","",
"Bahrain","BHR","Government expenditure on education, total (% of GDP)","SE.XPD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.87436","2.575","2.49678","","","","2.6447","","","","",
"Bahamas, The","BHS","Government expenditure on education, total (% of GDP)","SE.XPD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.84999","","","","","","","","","","","","","","","","",
"Bosnia and Herzegovina","BIH","Government expenditure on education, total (% of GDP)","SE.XPD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Belarus","BLR","Government expenditure on education, total (% of GDP)","SE.XPD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.00001","6.19662","","","","5.71226","5.87103","6.07696","5.1521","","4.51672","5.41013","4.84382","5.12106","5.17594","4.98983","4.94934","",
"Belize","BLZ","Government expenditure on education, total (% of GDP)","SE.XPD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.44344","5.02843","5.79693","","5.20682","5.2994","","","","5.68789","6.10014","6.621","","","6.21827","","","",
"Bermuda","BMU","Government expenditure on education, total (% of GDP)","SE.XPD.TOTL.GD.ZS","","","","","","","","","","","","","","4.1079","","3.43442","","","","","","","","","","3.03449","","","","","3.1362","3.15065","3.47605","","","","","","2.15227","","","","","1.66627","1.77588","1.98877","","","","2.61519","2.64421","","","","1.78285","1.71958","",
"Bolivia","BOL","Government expenditure on education, total (% of GDP)","SE.XPD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.78421","5.60817","4.65741","","5.52301","5.65932","5.47342","5.89946","6.23031","6.37904","","","6.31361","","7.03973","8.0812","7.60011","6.88847","6.42524","6.25793","7.28535","","",
"Brazil","BRA","Government expenditure on education, total (% of GDP)","SE.XPD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.47317","","","4.75666","3.80062","3.94892","3.84468","3.75037","","3.97449","4.47908","4.8706","4.97426","5.26884","5.46355","5.6488","5.74098","5.80009","5.99795","","","",
"Barbados","BRB","Government expenditure on education, total (% of GDP)","SE.XPD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.6387","","","","","","","","4.25488","4.62167","5.93509","5.76363","6.12156","5.9038","5.55673","","5.11607","5.06121","5.32773","5.87482","","5.62441","5.50356","6.71179","","",
"Brunei Darussalam","BRN","Government expenditure on education, total (% of GDP)","SE.XPD.TOTL.GD.ZS","","","","","","","","","","","6.23915","4.99502","4.03929","8.79329","3.39271","1.96134","1.97008","","2.11424","1.54552","1.19108","1.61678","1.69715","","","","","4.73773","5.40903","4.69012","3.95996","3.66894","3.74769","4.29403","","","","","5.25395","4.93205","3.70591","","","","","","","","","","2.04661","3.68108","3.20704","","3.76595","","",
"Bhutan","BTN","Government expenditure on education, total (% of GDP)","SE.XPD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.51379","5.7178","","","6.41799","7.0781","","","4.7975","4.62672","4.02447","4.65258","","5.58966","5.90333","7.38966","",
