,country,country_code,year,life_expectancy,gdp,health,education,military,research,net_aid
0,Aruba,ABW,1995-01-01,73.56,16441.38,,,,,25800000.0
1,Afghanistan,AFG,1995-01-01,53.14,,,,,,212530000.0
2,Angola,AGO,1995-01-01,42.05,386.39,72.14,,4.71,,416420000.0
3,Albania,ALB,1995-01-01,72.24,760.56,25.97,3.76,2.10,,180600000.0
4,Andorra,AND,1995-01-01,,18459.91,68.57,,,,
5,United Arab Emirates,ARE,1995-01-01,73.12,27973.74,78.97,,,,5410000.0
6,Argentina,ARG,1995-01-01,72.67,7373.43,59.76,,1.47,,143120000.0
7,Armenia,ARM,1995-01-01,68.76,455.55,31.10,,4.06,,217710000.0
8,American Samoa,ASM,1995-01-01,,,,,,,
9,Antigua and Barbuda,ATG,1995-01-01,72.32,7230.32,66.28,,,,2270000.0
10,Australia,AUS,1995-01-01,77.83,20360.18,65.78,5.13,2.09,,
11,Austria,AUT,1995-01-01,76.67,30252.79,74.76,5.44,1.06,,
12,Azerbaijan,AZE,1995-01-01,64.58,397.20,24.03,3.34,2.74,,119540000.0
13,Burundi,BDI,1995-01-01,48.80,160.35,30.78,5.02,4.21,,286950000.0
14,Belgium,BEL,1995-01-01,76.84,28565.95,76.80,2.97,1.54,,
15,Benin,BEN,1995-01-01,54.82,362.47,45.00,,,,280560000.0
16,Burkina Faso,BFA,1995-01-01,49.34,235.83,38.02,,1.55,,490450000.0
17,Bangladesh,BGD,1995-01-01,61.89,320.36,37.24,,0.00,,1281740000.0
18,Bulgaria,BGR,1995-01-01,71.05,1554.05,73.96,3.45,2.38,,113070000.0
19,Bahrain,BHR,1995-01-01,73.56,10376.36,68.53,,5.18,,99870000.0
20,"Bahamas, The",BHS,1995-01-01,71.26,12239.83,39.85,,,,4260000.0
21,Bosnia and Herzegovina,BIH,1995-01-01,71.57,481.17,37.10,,,,965800000.0
22,Belarus,BLR,1995-01-01,68.46,1370.67,71.12,,1.70,,222720000.0
23,Belize,BLZ,1995-01-01,69.59,2996.40,62.00,,1.30,,18830000.0
24,Bermuda,BMU,1995-01-01,,33989.72,,,,,-2080000.0
25,Bolivia,BOL,1995-01-01,57.86,887.47,56.64,5.61,2.10,,712360000.0
26,Brazil,BRA,1995-01-01,67.60,4827.15,43.01,4.47,1.82,,278930000.0
27,Barbados,BRB,1995-01-01,72.28,8537.06,67.95,,,,-1160000.0
28,Brunei Darussalam,BRN,1995-01-01,74.22,16046.98,77.37,,6.04,,4290000.0
29,Bhutan,BTN,1995-01-01,56.40,595.51,66.77,,,,73220000.0
30,Botswana,BWA,1995-01-01,56.24,3001.10,52.18,,3.51,,89660000.0
31,Central African Republic,CAF,1995-01-01,46.85,334.37,37.85,,1.17,,167780000.0
32,Canada,CAN,1995-01-01,77.98,20577.49,71.25,6.32,1.52,,
33,Switzerland,CHE,1995-01-01,78.42,48540.58,53.56,5.07,1.36,,
34,Channel Islands,CHI,1995-01-01,76.44,,,,,,
35,Chile,CHL,1995-01-01,74.83,5026.72,48.18,2.64,2.56,,156890000.0
36,China,CHN,1995-01-01,69.93,609.66,50.50,1.85,1.72,,2147483647.0
37,Cote d'Ivoire,CIV,1995-01-01,49.56,763.67,25.84,4.30,,,1212440000.0
38,Cameroon,CMR,1995-01-01,53.22,626.96,23.32,,1.25,,443990000.0
39,"Congo, Dem. Rep.",COD,1995-01-01,49.07,133.78,4.66,,,,194750000.0
40,"Congo, Rep.",COG,1995-01-01,52.19,777.58,59.31,4.91,,,126860000.0
41,Colombia,COL,1995-01-01,69.43,2470.68,55.06,,2.83,,170130000.0
42,Comoros,COM,1995-01-01,58.70,483.55,62.42,,,,41600000.0
43,Cabo Verde,CPV,1995-01-01,67.68,1251.81,80.43,,1.27,,115730000.0
44,Costa Rica,CRI,1995-01-01,76.56,3279.33,76.50,3.31,0.00,,32090000.0
45,Cuba,CUB,1995-01-01,75.41,2790.18,90.23,,,,63630000.0
46,Curacao,CUW,1995-01-01,,,,,,,
47,Cayman Islands,CYM,1995-01-01,,,,,,,-570000.0
48,Cyprus,CYP,1995-01-01,77.27,15098.01,35.84,3.75,3.04,,21430000.0
49,Czech Republic,CZE,1995-01-01,73.07,5765.05,90.89,4.56,1.79,,147380000.0
50,Germany,DEU,1995-01-01,76.42,31729.70,81.42,4.42,1.59,,
51,Djibouti,DJI,1995-01-01,57.05,752.90,60.34,,5.95,,105560000.0
52,Dominica,DMA,1995-01-01,,3139.22,71.10,,,,25000000.0
53,Denmark,DNK,1995-01-01,75.21,35351.38,82.52,7.47,1.69,,
54,Dominican Republic,DOM,1995-01-01,69.72,2072.68,22.17,1.05,0.54,,119960000.0
55,Algeria,DZA,1995-01-01,68.12,1444.91,72.23,,2.96,,295740000.0
56,Ecuador,ECU,1995-01-01,71.23,2135.63,55.36,2.00,1.95,,224300000.0
57,"Egypt, Arab Rep.",EGY,1995-01-01,66.76,963.56,46.54,4.60,3.24,,2031880000.0
58,Eritrea,ERI,1995-01-01,52.40,182.68,48.01,,20.83,,148290000.0
59,Spain,ESP,1995-01-01,77.98,15429.94,72.18,4.45,1.87,,
60,Estonia,EST,1995-01-01,67.54,3044.38,89.77,6.07,0.96,,58050000.0
61,Ethiopia,ETH,1995-01-01,49.31,133.90,40.62,,1.57,,876980000.0
62,Finland,FIN,1995-01-01,76.41,26273.47,71.69,6.81,1.42,,
63,Fiji,FJI,1995-01-01,66.64,2540.75,79.13,,1.76,,44400000.0
64,France,FRA,1995-01-01,77.75,27037.97,79.69,5.76,2.97,,
65,Faroe Islands,FRO,1995-01-01,77.37,,,,,,
66,"Micronesia, Fed. Sts.",FSM,1995-01-01,66.76,2065.00,94.97,,,,77160000.0
67,Gabon,GAB,1995-01-01,60.83,4564.27,36.10,,,,143740000.0
68,United Kingdom,GBR,1995-01-01,76.84,22755.56,83.86,4.84,2.59,,
69,Georgia,GEO,1995-01-01,70.23,569.02,5.22,,,,209060000.0
70,Ghana,GHA,1995-01-01,57.50,385.73,52.58,,0.76,,649870000.0
71,Gibraltar,GIB,1995-01-01,,,,,,,210000.0
72,Guinea,GIN,1995-01-01,51.70,469.76,35.24,,,,415920000.0
73,"Gambia, The",GMB,1995-01-01,53.49,737.51,31.96,2.55,0.37,,45430000.0
74,Guinea-Bissau,GNB,1995-01-01,50.57,215.07,24.75,,0.87,,117600000.0
75,Equatorial Guinea,GNQ,1995-01-01,50.35,316.40,72.17,,2.43,,33400000.0
76,Greece,GRC,1995-01-01,77.59,12959.32,52.04,,3.05,,
77,Grenada,GRD,1995-01-01,69.32,2755.99,43.53,,,,10820000.0
78,Greenland,GRL,1995-01-01,65.64,21665.83,,,,,
79,Guatemala,GTM,1995-01-01,64.96,1414.98,40.02,1.60,0.99,,208410000.0
80,Guam,GUM,1995-01-01,73.38,,,,,,
81,Guyana,GUY,1995-01-01,64.23,855.42,81.40,3.61,0.92,,86290000.0
82,"Hong Kong SAR, China",HKG,1995-01-01,78.68,23497.49,,,,,17730000.0
83,Honduras,HND,1995-01-01,68.86,699.51,53.70,3.58,,,402380000.0
84,Croatia,HRV,1995-01-01,72.08,4794.94,86.46,,9.20,,53280000.0
85,Haiti,HTI,1995-01-01,56.28,359.77,40.89,,0.09,,722220000.0
86,Hungary,HUN,1995-01-01,69.79,4481.41,83.96,4.87,1.32,,-245240000.0
87,Indonesia,IDN,1995-01-01,65.00,1026.27,36.24,1.00,1.23,,1302630000.0
88,Isle of Man,IMN,1995-01-01,,12672.69,,,,,
89,India,IND,1995-01-01,60.44,381.53,26.17,,2.58,,1737710000.0
90,Ireland,IRL,1995-01-01,75.57,19177.41,72.52,4.87,1.01,,
91,"Iran, Islamic Rep.",IRN,1995-01-01,68.31,1598.50,44.76,4.08,2.22,,186940000.0
92,Iraq,IRQ,1995-01-01,68.50,,,,,,332770000.0
93,Iceland,ISL,1995-01-01,77.98,26851.02,83.93,4.74,,,
94,Israel,ISR,1995-01-01,77.45,18028.64,67.39,,8.86,,335590000.0
95,Italy,ITA,1995-01-01,78.17,20596.39,70.76,4.33,1.65,,
96,Jamaica,JAM,1995-01-01,71.94,2321.43,53.42,3.74,0.61,,108500000.0
97,Jordan,JOR,1995-01-01,70.93,1557.22,62.93,,4.45,,540490000.0
98,Japan,JPN,1995-01-01,79.54,43440.37,82.32,3.51,0.92,,
99,Kazakhstan,KAZ,1995-01-01,64.92,1288.24,63.96,4.03,1.07,,64830000.0
100,Kenya,KEN,1995-01-01,54.46,330.48,46.29,,1.65,,733090000.0
101,Kyrgyz Republic,KGZ,1995-01-01,65.79,364.23,51.23,6.16,3.46,,284670000.0
102,Cambodia,KHM,1995-01-01,55.12,321.77,20.86,,3.58,,551000000.0
103,Kiribati,KIR,1995-01-01,62.51,724.82,95.50,,,,15340000.0
104,St. Kitts and Nevis,KNA,1995-01-01,,6987.96,54.84,2.69,,,3900000.0
105,"Korea, Rep.",KOR,1995-01-01,73.39,12403.91,37.53,2.97,2.88,,57000000.0
106,Kuwait,KWT,1995-01-01,72.89,16610.37,82.68,,13.58,,4230000.0
107,Lao PDR,LAO,1995-01-01,56.12,363.03,57.80,,5.88,,307910000.0
108,Lebanon,LBN,1995-01-01,72.07,3863.25,33.77,2.22,6.37,,191290000.0
109,Liberia,LBR,1995-01-01,50.16,64.81,,,,,123100000.0
110,Libya,LBY,1995-01-01,69.95,5236.38,46.21,,,,5840000.0
111,St. Lucia,LCA,1995-01-01,71.18,3814.00,50.02,,,,48220000.0
112,Liechtenstein,LIE,1995-01-01,77.39,78761.76,,,,,
113,Sri Lanka,LKA,1995-01-01,69.42,720.91,46.96,2.97,5.86,,554620000.0
114,Lesotho,LSO,1995-01-01,56.84,571.26,47.73,10.05,3.43,,112650000.0
115,Lithuania,LTU,1995-01-01,69.01,2168.80,74.15,4.76,0.45,,179130000.0
116,Luxembourg,LUX,1995-01-01,76.51,52682.68,92.44,3.50,0.66,,
117,Latvia,LVA,1995-01-01,66.39,2329.27,66.27,,0.81,,63350000.0
118,"Macao SAR, China",MAC,1995-01-01,76.50,16465.03,,,,,-4010000.0
119,St. Martin (French part),MAF,1995-01-01,75.97,,,,,,
120,Morocco,MAR,1995-01-01,66.82,1423.67,33.31,4.73,3.68,,500560000.0
121,Monaco,MCO,1995-01-01,,101963.22,89.56,1.06,,,
122,Moldova,MDA,1995-01-01,66.73,476.99,64.21,,0.93,,65820000.0
123,Madagascar,MDG,1995-01-01,54.61,234.89,35.46,,0.86,,299410000.0
124,Maldives,MDV,1995-01-01,65.56,1564.66,60.80,,,,58080000.0
125,Mexico,MEX,1995-01-01,72.74,3640.83,42.13,3.87,0.50,,391240000.0
126,Marshall Islands,MHL,1995-01-01,,2356.53,90.98,,,,38880000.0
127,"Macedonia, FYR",MKD,1995-01-01,72.07,2277.59,59.55,4.49,,,78800000.0
128,Mali,MLI,1995-01-01,47.65,280.73,52.26,,1.50,,540410000.0
129,Malta,MLT,1995-01-01,77.14,9114.36,67.53,,0.91,,9210000.0
130,Myanmar,MMR,1995-01-01,60.41,,18.96,1.20,3.68,,150160000.0
131,Montenegro,MNE,1995-01-01,74.02,,70.03,,,,
132,Mongolia,MNG,1995-01-01,61.21,631.92,82.47,,1.47,,209020000.0
133,Northern Mariana Islands,MNP,1995-01-01,,,,,,,-700000.0
134,Mozambique,MOZ,1995-01-01,45.90,158.47,64.09,,1.30,,1063390000.0
135,Mauritania,MRT,1995-01-01,59.38,606.39,47.99,,2.26,,230230000.0
136,Mauritius,MUS,1995-01-01,70.33,3599.56,54.62,,0.33,,23820000.0
137,Malawi,MWI,1995-01-01,43.48,142.27,36.96,4.01,0.79,,435140000.0
138,Malaysia,MYS,1995-01-01,71.86,4280.02,56.46,4.34,2.75,,108260000.0
139,Namibia,NAM,1995-01-01,60.09,2383.29,71.10,,1.73,,190370000.0
140,New Caledonia,NCL,1995-01-01,72.01,18721.06,,,,,451210000.0
141,Niger,NER,1995-01-01,47.13,200.90,22.09,2.85,0.98,,272390000.0
142,Nigeria,NGA,1995-01-01,46.11,263.29,23.76,,0.70,,210960000.0
143,Nicaragua,NIC,1995-01-01,67.34,897.72,64.40,,0.85,,649130000.0
144,Netherlands,NLD,1995-01-01,77.40,28884.71,71.04,4.64,1.79,,
145,Norway,NOR,1995-01-01,77.74,34875.20,84.23,7.70,2.31,,
146,Nepal,NPL,1995-01-01,58.46,205.75,26.48,,0.94,,429560000.0
147,Nauru,NRU,1995-01-01,,,93.57,,,,2530000.0
148,New Zealand,NZL,1995-01-01,76.73,17400.42,77.17,5.74,1.82,,
149,Oman,OMN,1995-01-01,69.99,6297.20,83.92,3.41,14.62,,75090000.0
150,Pakistan,PAK,1995-01-01,61.49,494.59,26.18,2.82,6.22,,822820000.0
151,Panama,PAN,1995-01-01,74.12,3496.49,67.96,4.52,1.01,,40350000.0
152,Peru,PER,1995-01-01,68.02,2217.78,53.77,,2.65,,372120000.0
153,Philippines,PHL,1995-01-01,66.07,1061.35,39.53,3.04,2.29,,912330000.0
154,Palau,PLW,1995-01-01,71.84,5519.39,74.22,,,,142320000.0
155,Papua New Guinea,PNG,1995-01-01,57.35,983.08,83.54,,1.17,,371260000.0
156,Poland,POL,1995-01-01,71.89,3682.79,72.89,4.42,1.91,,2147483647.0
157,Puerto Rico,PRI,1995-01-01,74.13,11579.18,,,,,
158,"Korea, Dem. People's Rep.",PRK,1995-01-01,66.12,,,,,,13480000.0
159,Portugal,PRT,1995-01-01,75.31,11782.52,62.62,4.61,2.26,,
160,Paraguay,PRY,1995-01-01,68.92,1903.47,35.96,,1.68,,139340000.0
161,West Bank and Gaza,PSE,1995-01-01,69.62,1326.56,,,,,514110000.0
162,French Polynesia,PYF,1995-01-01,70.54,18505.46,,,,,450930000.0
163,Qatar,QAT,1995-01-01,75.87,16242.72,62.64,,,,3740000.0
164,Romania,ROU,1995-01-01,69.46,1660.27,74.54,,2.61,,297850000.0
165,Russian Federation,RUS,1995-01-01,64.69,2665.74,73.88,,4.07,,1916780000.0
166,Rwanda,RWA,1995-01-01,31.63,218.77,38.43,,4.36,,694700000.0
167,Saudi Arabia,SAU,1995-01-01,71.11,7555.97,52.62,5.73,9.28,,16990000.0
168,Sudan,SDN,1995-01-01,56.53,458.78,19.72,,1.00,,237430000.0
169,Senegal,SEN,1995-01-01,57.38,560.08,32.53,,1.66,,652340000.0
170,Singapore,SGP,1995-01-01,76.30,24936.83,49.61,,4.18,,16660000.0
171,Solomon Islands,SLB,1995-01-01,59.70,1445.66,92.81,,,,47690000.0
172,Sierra Leone,SLE,1995-01-01,35.72,226.89,21.03,,2.87,,212270000.0
173,El Salvador,SLV,1995-01-01,67.21,1699.94,38.52,,1.18,,295960000.0
174,San Marino,SMR,1995-01-01,,,85.97,3.37,,,
175,Somalia,SOM,1995-01-01,47.16,,,,,,187930000.0
176,Serbia,SRB,1995-01-01,,2196.62,65.59,,,,95060000.0
177,South Sudan,SSD,1995-01-01,46.85,,,,,,
178,Sao Tome and Principe,STP,1995-01-01,62.57,,36.70,,,,84090000.0
179,Suriname,SUR,1995-01-01,67.81,1556.58,64.17,,,,76720000.0
180,Slovak Republic,SVK,1995-01-01,72.25,4799.15,88.52,4.32,3.15,,97960000.0
181,Slovenia,SVN,1995-01-01,73.96,10690.67,77.70,4.92,1.57,,52540000.0
182,Sweden,SWE,1995-01-01,78.74,29914.33,86.65,6.22,2.17,,
183,Swaziland,SWZ,1995-01-01,56.39,1763.48,57.10,5.65,1.69,,57750000.0
184,Sint Maarten (Dutch part),SXM,1995-01-01,,,,,,,
185,Seychelles,SYC,1995-01-01,,6748.93,84.97,7.70,2.28,,13190000.0
186,Syrian Arab Republic,SYR,1995-01-01,71.48,795.20,39.68,,6.95,,355970000.0
187,Turks and Caicos Islands,TCA,1995-01-01,,,,,,,5550000.0
188,Chad,TCD,1995-01-01,47.40,206.51,34.77,,1.39,,235020000.0
